Producto,Marca,Modelo,CalificaciÃ³n,Fecha,Texto,texto_limpio,dominant_topic,category,scores,compound,sentiment_VADER
HUAWEI Smartphone nova Y90 Blanco 6GB128GB Dual Sim,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 meses,Es de buena calidad,buen calidad,2,Calidad,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
HUAWEI Smartphone nova Y90 Blanco 6GB128GB Dual Sim,Desconocida,Desconocido,2 de 5 estrellas.,hace 10 meses,Me llego con fallas no funcionaba correctamente,llego falla funcionar correctamente,2,Calidad,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace 11 meses,"Toda una desepcion con este producto me llegÃ³ con fallas de fabrica a unos dÃ­as de uso se recalentaba demasiado fuera de lo normal debajo de los botones de subir y bajar volumen al cargarlo y al reproducir videos.. Deseo devoluciÃ³n de mi dinero o cancelar cobro! Y encima no ay un experto presencial te obligan y derivan a 15 dÃ­as hÃ¡biles, engorroso el proceso..! PÃ©sima experiencia! Me afecta mi sistema de pago seÃ±ores falabella quiero soluciÃ³n ya!",todo desepcion producto llegar falla fabricar dÃ­a uso recalentar demasiado normal debajo botÃ³n subir bajar volumen cargar Ã©l reproducir video desear devoluciÃ³n dinero cancelar cobro encima experto presencial obligar derivar dÃ­a hÃ¡bil engorroso proceso pÃ©sima experiencia afectar sistema pago seÃ±or falabella querer soluciÃ³n,3,Precio,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,"Todo es como lo especifica los detalles, incluso pide comprar el case por 1 sol. Muy feliz con mi compra. Pero si les recomiendo esperar al cyber wow porque ahÃ­ es mÃ¡s barato.",especificar detalle incluso pedir comprar case sol feliz compra recomeir esperar cyber wow ahÃ­ barato,3,Precio,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.5859}",0.5859,positivo
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 horas,me encanto,encanto,2,Calidad,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,3 de 5 estrellas.,hace 17 dÃ­as,"El celular se ve nuevo, tiene garantÃ­a de un aÃ±o pero se calienta demasiado, ni mi iPhone 11 es asÃ­, a parte que la baterÃ­a no dura mucho:/",celular nuevo garantÃ­a aÃ±o calienta demasiado iphonar asÃ­ parte bateer duro,4,Experiencia,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 aÃ±os,"Excelente producto , totalmente contento con mi compra.",excelente producto totalmente contento compra,4,Experiencia,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 15 dÃ­as,"Producto me llegÃ³ sellado tal y como lo esperaba. Hasta el momento funciona a la perfecciÃ³n, se lo recomiendo. Saludos",producto llegar sellado tal esperar momento funcionar perfecciÃ³n recomeir saludo,2,Calidad,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace un aÃ±o,Te ofrecen pagar en 12 cuotas S/ 359.90 con CMR y a la hora de realizar el pago es otro monto muy distinto y elevado.,ofrecer pagar cuota cmr hora realizar pago monto distinto elevado,2,Calidad,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,Si tal cuÃ¡l a la foto buena calidad todo super... Graciasssss!,tal cuÃ¡l foto buen calidad super graciasssss,2,Calidad,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.5994}",0.5994,positivo
